sample_idx,condition,attack_type,deletion_auc,insertion_auc,score,ecs,ecs_nr_proxy,stability,spectral_alignment,faithfulness_preservation
2,N1_awgn20,bonafide,0.5372668420627891,0.5377525408269432,1.0,0.7763838229659612,0.46913930475711824,0.854019820690155,0.4560304582118988,0.9932225240877652
2,N2_awgn10,bonafide,0.5476303469122247,0.541280057036286,1.0,0.7938433781493603,0.48727040588855747,0.8404197692871094,0.5291709303855896,0.9964139710627992
3,C0_clean,bonafide,0.5368826130250752,0.5324592335522627,1.0,0.8439398164465417,0.4274281084537506,1.0,0.48969176411628723,0.9901076240388516
3,C8_opus16,bonafide,0.5409366517696691,0.5361227710805462,1.0,0.828252463736004,0.4381659954786301,0.9087343811988831,0.5550340414047241,0.9941616627834454
3,C9_opus6,bonafide,0.5633515709361967,0.5230695785987558,1.0,0.2849655060942462,0.16061066552996636,0.17148146033287048,0.08110175728797912,0.6401413159156809
3,N1_awgn20,bonafide,0.5401286371145019,0.5384527421400146,1.0,0.7863635787791512,0.47153456807136535,0.8322882056236267,0.5181406736373901,0.9933536481282782
3,N2_awgn10,bonafide,0.5428656371842111,0.5447784508993093,1.0,0.8110211246084745,0.48086083531379703,0.8477616310119629,0.576964259147644,0.9960906481979874
4,C0_clean,bonafide,0.5404352353411909,0.5385049632476707,1.0,0.8591833733908306,0.4274281352758408,1.0,0.5411452054977417,0.9894660391383604
4,C8_opus16,bonafide,0.5318874678030179,0.5370763281847901,1.0,0.814289817910095,0.4381660282611847,0.9087343811988831,0.504639744758606,0.9980138066765334
4,C9_opus6,bonafide,0.5525739215432514,0.5271983432321152,1.0,0.2703556259878232,0.16088849022984505,0.17398934066295624,0.07768608927726746,0.5915135431315349
4,N1_awgn20,bonafide,0.545260601929078,0.5430375729932063,1.0,0.7839403107004981,0.49610211253166203,0.8623319864273071,0.47871771454811096,0.9846406725504733
4,N2_awgn10,bonafide,0.5448623999323493,0.5435694752147155,1.0,0.7835907632114049,0.5066964417695999,0.8355082273483276,0.5129193663597107,0.985038874547202
5,C0_clean,bonafide,0.54336562751387,0.5387168490865373,1.0,0.8452220511576196,0.4274281352758408,1.0,0.48458564281463623,0.9994878610440958
5,C8_opus16,bonafide,0.5481939804767202,0.5367149242698496,1.0,0.8066970070356709,0.4381659954786301,0.9087343811988831,0.481660395860672,0.995683785993054
5,C9_opus6,bonafide,0.5550762507297231,0.5166739598931492,1.0,0.2724824005798644,0.16766632184386254,0.1875406801700592,0.07504624128341675,0.5831741870893856
5,N1_awgn20,bonafide,0.5389042964465555,0.5362778886490065,1.0,0.7850715163794327,0.4781785041093827,0.8542158603668213,0.48292404413223267,0.9950265299767813
5,N2_awgn10,bonafide,0.5531127465608012,0.5371910720094106,1.0,0.7796733035610404,0.4957455545663834,0.8159091472625732,0.520267128944397,0.9907650199089729
6,C0_clean,bonafide,0.5304061439235048,0.539867430622754,1.0,0.8447338449415838,0.4274281084537506,1.0,0.4963277578353882,0.9861183919698909
6,C8_opus16,bonafide,0.5541415229384488,0.5372128828000721,1.0,0.8114565817553918,0.4381660550832749,0.9087343811988831,0.5030632019042969,0.9901462290151651
6,C9_opus6,bonafide,0.5583833482019567,0.5232788558692538,1.0,0.2787035919779023,0.16764823481440544,0.16578783094882965,0.07726965844631195,0.6306918735482562
6,N1_awgn20,bonafide,0.5392494161956791,0.5407396075539824,1.0,0.7687376276142943,0.48303768336772923,0.8436951637268066,0.44257020950317383,0.9949616642420652
6,N2_awgn10,bonafide,0.5500735076260355,0.543872597498019,1.0,0.773187317741404,0.4788104444742203,0.8423285484313965,0.459972083568573,0.9942142443275784
7,C0_clean,bonafide,0.5403844747429228,0.5375328375889834,1.0,0.833932262985678,0.4274281352758408,1.0,0.45601803064346313,0.9904228459754633
7,C8_opus16,bonafide,0.5503583371444147,0.5425426347021546,1.0,0.8272376836157587,0.4381659954786301,0.9087343811988831,0.5462098121643066,0.9996032916230448
7,C9_opus6,bonafide,0.557107707809783,0.5179235884956166,1.0,0.26939863890747884,0.16992384389042856,0.16175535321235657,0.06337796151638031,0.6189436972254072
7,N1_awgn20,bonafide,0.5502928019460472,0.5335406036173593,1.0,0.785263958621909,0.4597814857959747,0.8728435039520264,0.4540863633155823,0.9996688268214123
7,N2_awgn10,bonafide,0.5476501876340896,0.530263076870589,1.0,0.7728427789122015,0.4979262232780457,0.8208699226379395,0.4839608073234558,0.99768855886663
8,C0_clean,bonafide,0.5319625838271939,0.5409231692926616,1.0,0.8659697502109278,0.4274281352758408,1.0,0.5654072165489197,0.9878252841541731
8,C8_opus16,bonafide,0.5457344267349089,0.5319899340695873,1.0,0.8169283507043705,0.4381659954786301,0.9087343811988831,0.5130457878112793,0.9984028729381118
